A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A222,Bull Early Education Center 815 De Koven Ave Racine,B1588,Racine Early Education Center 2015 Franklin Street Racine,0.83227
A909,John Long Middle 700 Hickory St Grafton,B916,John Long Middle School 700 Hickory St Grafton,0.83218527
A1078,Little Chute Middle 1402 Freedom Rd Little Chute,B1067,Little Chute Middle School 1402 Freedom Rd Little Chute,0.8320168
A1236,Milwaukee County Youth Education Center 949 N 9th St Milwaukee,B1942,St. Rose Youth & Family Center School 3801 N 88th St Milwaukee,0.83177274
A998,Lake Delton Elementary 20 W Delavan St Lake Delton,B2062,Turtle Creek Elementary School 1235 Creek Rd Delavan,0.831336
A309,Clay Lamberton Elementary 259 E Marquette St Berlin,B1424,Orchard Lane Elementary School 2015 S Sunnyslope Rd New Berlin,0.83132243
A503,East High 7500 Milwaukee Ave Wauwatosa,B2150,Wauwatosa East High School 7500 Milwaukee Ave Milwaukee,0.83038604
A1892,Superior Community Preschool 3025 Tower Ave Superior,B1365,Northern Lights Elementary 1201 North 28th Street Superior,0.83007973
A66,Arcadia High 756 Raider Dr Arcadia,B64,Arcadia High School 756 Raider Drive Arcadia,0.82954675
A1344,North Cape Elementary 11926 W Highway K Franksville,B1597,Raymond Elementary School 2659 76th Street Franksville,0.8294473
A654,Galesville-Ettrick-Trempealeau Middle 19650 Prairie Ridge Ln Galesville,B644,Gale-Ettrick-Tremp High School 17511 N Main St Galesville,0.8294079
A1221,Mighty River Academy of Virtual Education 800 E Crawford St Prairie du Chien,B1476,Parkview Academy Of Virtual Education 408 West Beloit Street Orfordville,0.8291196
A531,Elcho Elementary PO Box 800 Elcho,B523,Elcho Elementary School N11268 Antigo St Elcho,0.82877266
A168,Blair-Taylor Middle/High PO Box 107 Blair,B171,Blair Taylor Elementary School N31024 Elland Rd Blair,0.82869303
A54,Antigo High 1900 10th Ave Antigo,B52,Antigo High School 1900 10th Ave Antigo,0.82833767
A1332,New Richmond Starr Elementary 701 E 11th St New Richmond,B1330,New Richmond Head Start 421 S Green Ave New Richmond,0.82805973
A1450,Oxford Avenue School 1266 McKinley Rd Eau Claire,B1179,Mckinley Elementary School 1266 Mckinley Rd Eau Claire,0.8280277
A1366,Northern Hills Elementary 910 East Ave N Onalaska,B1419,Onalaska High School 700 Wilson St Onalaska,0.8279301
A1988,Vel R Phillips School 10201 W Watertown Plank Rd Wauwatosa,B2152,Wauwatosa West High School 11400 W Center St Wauwatosa,0.82756495
A1611,Rib Lake Elementary PO Box 278 Rib Lake,B1627,Rib Lake Middle School 1296 North Street Rib Lake,0.82755244
A461,Douglas Elementary 1101 Prospect St Watertown,B1102,Luther Preparatory School 1300 Western Ave Watertown,0.82668805
A1224,Mill Creek Academy S46W23850 Lawnsdale Rd Waukesha,B756,Hawthorne Elementary School 1111 Maitland Dr Waukesha,0.8263988
A822,Hortonville Area K4 School N2468 Learning Way Greenville,B1351,North Greenville Elementary School N 2468 Learning Way Greenville,0.82634664
A217,Bruce Guadalupe 1028 S 9th St Milwaukee,B220,Bruce Guadalupe Community Sch 1028 S 9th St Milwaukee,0.8262632
A189,Bradley Technology High 700 S Fourth St Milwaukee,B2217,Whs-Technology 2525 N Sherman Blvd Milwaukee,0.82598114
A481,Eagle Bluff Elementary 200 Eagle Bluff Ct Onalaska,B480,Eagle Elementary School 810 E Main Street Eagle,0.8258818
A1642,River Ridge Middle PO Box 78 Patch Grove,B1653,River Ridge Elementary 11165 County Highway P Patch Grove,0.8254752
A282,Central Sands Community High School 3995 County Rd K Amherst,B48,Amherst Middle School 357 N Main St Amherst,0.8253117
A147,Berlin Middle 242 Memorial Dr Berlin,B150,Berlin High School 222 Memorial Dr Berlin,0.8249204
A704,Grant Gordon Learning Center 921 W Meinecke Ave Milwaukee,B733,"Guidance Academy 1800 16th Ave, South Milwaukee",0.8248834
A399,De Forest Middle 404 Yorktown Rd De Forest,B427,De Forest Middle School 404 Yorktown Road De Forest,0.8242925
A1134,Maple Grove Charter School 135594 County Road L Athens,B1129,Maple Grove Charter School 135594 County Road L Hamburg,0.8238899
A1497,Pertzsch Elementary 524 Main St Onalaska,B1940,St. Patrick'S Grade School 127 11th Ave N Onalaska,0.8236017
A1719,Saint Croix Falls Elementary PO Box 130 Saint Croix Falls,B1858,"St Croix Central Elem School P.O. Box 129, 202 S Division St Roberts",0.8235348
A1658,Riverview Early Learning Center 4400 Michigan Ave Manitowoc,B1521,Pitsch Early Learning Center 501 17th St S Wisc Rapids,0.8231772
A292,Chequamegon Middle 64 S Grant St Glidden,B304,Chequamegon Middle School 64 S Grant St Glidden,0.8230737
A2230,Lac Courte Oreilles Ojibwa School 8575 N Trepania Rd Hayward,B984,Lac Courte Oreilles Ojibwe Sch 8575 N Trepania Rd Hayward,0.8229803
A55,Antigo Middle 815 7th Ave Antigo,B53,Antigo Middle School 815 7th Ave Antigo,0.8229511
A954,Kickapoo Valley Forest School 301 W Adams St La Farge,B979,La Farge Elementary School 301 W Adams La Farge,0.8225443
A1488,Patrick Marsh Middle 501 S Bird St Sun Prairie,B1490,Patrick Marsh Middle School 1351 Columbus St Sun Prairie,0.8225033
A2186,Wisconsin Conservatory of Lifelong Learning 1017 N 12th St Milwaukee,B8,Accelerated Learning 3727 S 78th St Milwaukee,0.8223863
A129,Beaver Dam High 500 Gould St Beaver Dam,B132,Beaver Dam High School 500 Gould St Beaver Dam,0.8223709
A1544,Prairie du Chien High 800 E Crawford St Prairie du Chien,B1551,Prairie Du Chien High School 800 E Crawford St Prairie Du Chien,0.82225406
A1745,Schurz Elementary 1508 Neenah St Watertown,B1937,St. Margaret Mary Elementary School 610 Division St Neenah,0.82147557
A1622,Richland Community 4K 25500 Rockbridge School St Richland Center,B1635,Richland Center Intermediate School 1801 Hwy 80 S Richland Ctr,0.8211568
A535,Eleva-Strum High Eleva-Strum High School Strum,B527,Eleva-Strum High School W23597 U.S. Highway 10 Strum,0.8210454
A1328,New Richmond High 701 E 11th St New Richmond,B1330,New Richmond Head Start 421 S Green Ave New Richmond,0.82098264
A1223,Milestone Democratic School 2758 Dairy Dr Madison,B493,East Madison School 30 Dempsey Road Madison,0.82061595
A1641,River Ridge High PO Box 78 Patch Grove,B1653,River Ridge Elementary 11165 County Highway P Patch Grove,0.82038206
A493,Early Learning in Fond du Lac 72 W 9th St Fond du Lac,B485,Early Learning Center 923 Minnesota Avenue Fond Du Lac,0.8200971
A2009,Walden III High 2340 Mohr Ave Racine,B1892,St Lucy'S Elementary School 3035 Drexel Ave Racine,0.8196942
A937,Kenosha 4 Year Old Kindergarten 6300 27th Ave Kenosha,B1178,Mckinley Elementary School 5520 32nd Ave Kenosha,0.81923234
A1617,Richards Elementary 5812 N Santa Monica Blvd Whitefish Bay,B117,Bay Harbor Elementary School 1590 Harbor Lights Rd Suamico,0.8192152
A1033,Laurel High 100 Blackhawk Dr Viroqua,B2096,Viroqua High School 100 Blackhawk Dr Viroqua,0.8187276
A1091,Lomira High PO Box 919 Lomira,B1082,Lomira High School 1030 4th St Lomira,0.8186303
A2113,Western Wisconsin Virtual Charter School (WWVC) 213 S Scott St Elmwood,B2264,Wisconsin Virtual Learning 401 Highland Drive Fredonia,0.8186186
A715,Green Lake High PO Box 369 Green Lake,B714,Green Lake High School 612 Mill St Green Lake,0.81838596
A1913,Theresa Elementary PO Box 157 Theresa,B2012,Theresa Elementary School 422 S Milwaukee Theresa,0.8182538
